# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "data/genome/Saccharomyces_cerevisiae.R64-1-1.109.gtf" "-o" "results/counts/count_matrix.txt" "-T" "4" "-p" "-g" "gene_id" "-t" "exon" "-s" "0" "results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam
YDR439W	IV	1339676	1340719	+	1044	6	36	215	414	537	56	97
YDL206W	IV	90176	92464	+	2289	12	108	604	907	1316	152	377
YDR125C	IV	701397	702758	-	1362	16	31	266	285	398	41	99
YDR338C	IV	1147379	1149466	-	2088	32	138	1055	1055	1622	150	403
YDR526C	IV	1491075	1491545	-	471	0	0	4	5	5	2	1
YDR533C	IV	1501447	1502160	-	714	270	168	1363	959	1334	89	264
YDR272W	IV	1009010	1009834	+	825	84	114	668	972	1344	112	282
YDR197W	IV	851228	852397	+	1170	34	74	528	827	1018	124	295
YDR512C	IV	1470500	1471063	-	564	16	62	434	556	865	56	135
YDR489W	IV	1431012	1431896	+	885	16	80	505	667	1047	110	254
YDR299W	IV	1059627	1061231	+	1605	118	194	1164	1706	2348	166	442
YDL015C	IV	426002	426934	-	933	190	667	4782	6452	8931	1039	2285
YDR304C	IV	1071880	1072557	-	678	468	504	5615	5323	7876	706	1864
YDR271C	IV	1008395	1008766	-	372	0	0	0	0	1	0	0
YDL181W	IV	135179	135436	+	258	224	91	788	547	763	114	270
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	38	140	1139	1748	2409	340	681
YDR085C	IV	614288	616150	-	1863	40	32	456	490	633	65	132
YDL097C	IV	285391	286695	-	1305	316	562	4230	4086	5938	437	1125
YDL139C	IV	211375	212046	-	672	10	22	158	176	262	6	39
YDR200C	IV	854279	856093	-	1815	15	64	447	475	601	41	122
YDR191W	IV	842337	843449	+	1113	51	18	292	282	339	20	74
YDR451C	IV	1361120	1362181	-	1062	24	89	861	1454	1988	146	316
YDR469W	IV	1399015	1399542	+	528	2	36	366	517	588	38	130
YDR470C	IV	1399706	1401214	-	1509	42	34	819	1003	1384	143	307
YDR105C	IV	665349	666770	-	1422	100	310	1593	2147	2984	266	774
YDR483W	IV	1421157	1422485	+	1329	1449	1015	7542	6865	9877	1164	2970
YDL123W	IV	241418	241840	+	423	77	40	482	736	827	63	182
YDL199C	IV	101290	103353	-	2064	20	52	460	445	723	49	175
YDR505C	IV	1456695	1459220	-	2526	240	341	2628	2225	3052	241	760
YDL045W-A	IV	372248	372535	+	288	18	125	698	920	1341	73	258
YDL045C	IV	372688	373608	-	921	14	73	491	606	875	69	196
YDR361C	IV	1195412	1196263	-	852	136	128	1026	1548	2038	209	523
YDR406W-A	IV	1283799	1284044	+	246	0	0	0	5	6	0	1
YDR199W	IV	854175	854540	+	366	1	0	12	9	12	1	1
YDR266C	IV	1000104	1002023	-	1920	117	259	2033	2108	2927	286	765
YDL242W	IV	18959	19312	+	354	6	5	70	71	92	11	35
YDR002W	IV	453045	453650	+	606	1136	682	4369	5878	8078	694	1726
YDR214W	IV	892875	893927	+	1053	1362	1940	14211	12850	18845	1961	5387
YDR130C	IV	715747	716622	-	876	22	66	269	429	526	37	81
YDL176W	IV	142097	144223	+	2127	52	70	492	655	884	52	218
YDR358W	IV	1190059	1191732	+	1674	42	114	606	494	662	40	132
YDR544C	IV	1525095	1525523	-	429	0	0	0	0	0	0	0
YDR460W	IV	1383811	1384776	+	966	68	66	455	529	653	52	121
snR84	IV	1492477	1493026	-	550	30136	5653	32760	27115	36451	5025	12182
YDR034W-B	IV	521314	521469	+	156	2	0	34	35	51	2	14
YDL028C	IV	400997	403291	-	2295	26	60	717	874	1162	100	256
YDR061W	IV	574164	575783	+	1620	38	135	627	1155	1533	136	354
YDR060W	IV	570649	573726	+	3078	342	548	3278	4672	6383	661	1696
YDR169C-A	IV	794574	794723	-	150	0	0	11	32	55	4	12
YDR363W	IV	1199183	1200553	+	1371	49	32	359	489	616	60	155
YDR422C	IV	1315326	1317773	-	2448	92	222	1754	2167	3302	290	886
YDR119W	IV	688227	690533	+	2307	319	681	4202	7579	10491	1334	3568
tR(ACG)D	IV	619969	620041	-	73	0	6	70	72	82	9	22
YDR097C	IV	640109	643837	-	3729	154	270	1649	2027	2744	210	619
YDR042C	IV	540601	541203	-	603	0	6	93	176	250	21	43
YDL160C	IV	170410	171930	-	1521	228	689	4428	6280	9615	963	2606
YDR425W	IV	1320064	1321941	+	1878	6	36	463	494	680	65	132
snR13	IV	1402919	1403042	+	124	246	699	5747	4285	7685	832	2094
YDR228C	IV	921926	923806	-	1881	20	106	617	1030	1356	114	290
YDR319C	IV	1105003	1105827	-	825	14	36	502	920	1276	101	328
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	671	639	4578	7906	11390	1641	4951
YDR089W	IV	622112	624721	+	2610	44	134	903	1353	1798	191	504
tD(GUC)D	IV	568964	569035	+	72	0	0	7	7	16	2	13
YDR275W	IV	1012252	1012959	+	708	10	46	393	690	1039	108	226
YDR043C	IV	542674	543369	-	696	16	165	799	859	1114	81	178
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	1069	1084	7772	8193	11425	1061	3000
YDR136C	IV	727711	728283	-	573	0	2	20	53	87	4	16
YDL066W	IV	334835	336121	+	1287	1216	1250	11212	7007	10637	964	2581
YDR302W	IV	1067731	1068390	+	660	34	82	720	1246	1781	164	469
YDR239C	IV	941057	943420	-	2364	32	82	524	916	1242	92	264
YDR539W	IV	1512094	1513605	+	1512	72	136	972	1161	1782	269	729
tK(CUU)D1	IV	1201750	1201822	+	73	0	4	7	18	9	4	3
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	224	457	2678	3331	5319	498	1423
YDR493W	IV	1436217	1436588	+	372	12	31	211	340	486	38	133
YDR101C	IV	655686	657467	-	1782	330	860	5744	7582	10352	1249	3016
YDR182W-A	IV	829151	829354	+	204	0	0	61	72	120	7	23
YDR212W	IV	887232	888911	+	1680	1402	1157	8968	10000	14167	1612	4213
YDR476C	IV	1410453	1411127	-	675	87	156	1593	1729	2649	233	716
YDL131W	IV	227393	228715	+	1323	165	241	2271	2958	4523	383	943
YDR458C	IV	1380055	1382046	-	1992	143	124	758	1161	1636	139	381
YDR081C	IV	607304	610081	-	2778	48	160	1374	1223	1855	174	385
YDL071C	IV	330666	331040	-	375	2	9	59	79	94	10	20
YDR113C	IV	680496	681617	-	1122	4	14	158	268	335	34	82
YDR168W	IV	790328	791848	+	1521	98	280	1505	1932	2587	240	553
YDR520C	IV	1481085	1483403	-	2319	41	138	784	791	1147	119	329
YDR307W	IV	1075865	1077853	+	1989	78	339	1744	2269	3282	343	776
YDR265W	IV	998864	999877	+	1014	30	76	382	433	593	34	167
YDL076C	IV	320668	321552	-	885	12	66	425	813	1001	73	209
YDL006W	IV	439909	440754	+	846	42	92	372	585	878	66	245
YDL086W	IV	301413	302234	+	822	176	220	783	819	1205	133	377
YDR238C	IV	937895	940816	-	2922	686	1408	9126	9399	13543	1354	3498
YDR077W	IV	600793	601809	+	1017	255	3803	40676	55847	72456	3528	11595
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	7	29	173	226	412	30	62
YDL023C	IV	411761	412081	-	321	0	0	4	2	1	0	1
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	857	1271	12080	21222	31817	3788	9456
YDR036C	IV	523211	524713	-	1503	45	148	1570	1785	2761	240	607
YDR057W	IV	565927	567555	+	1629	48	138	741	939	1432	101	328
YDR513W	IV	1471017	1471448	+	432	340	449	2829	2624	3888	335	801
YDR487C	IV	1428354	1428980	-	627	382	397	3081	4456	6593	469	1556
YDR066C	IV	581908	582498	-	591	4	30	281	343	514	39	121
YDR352W	IV	1181801	1182754	+	954	46	88	877	1412	2146	242	550
YDR278C	IV	1017001	1017318	-	318	0	0	0	2	5	0	0
YDR079C-A	IV	603593	603811	-	219	4	4	142	196	270	23	52
YDR204W	IV	858137	859144	+	1008	106	170	1041	1054	1486	128	326
YDL247W-A	IV	3762	3836	+	75	0	0	26	13	36	3	11
YDL024C	IV	408451	409857	-	1407	8	32	171	114	198	16	40
tA(AGC)D	IV	410379	410451	+	73	0	0	4	1	6	0	1
YDR109C	IV	673520	675667	-	2148	180	120	1016	913	1315	119	291
YDR466W	IV	1395121	1397817	+	2697	14	117	667	695	1045	81	238
YDR427W	IV	1322205	1323386	+	1182	98	337	1809	2441	3240	274	754
YDL044C	IV	373967	375289	-	1323	24	20	300	364	604	42	81
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	34	78	323	687	941	82	223
YDR193W	IV	844554	844952	+	399	0	0	1	0	4	0	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	10	50	217	443	576	53	138
YDR377W	IV	1228611	1228916	+	306	22	155	1569	1402	1915	201	546
YDR219C	IV	905455	906852	-	1398	34	81	406	513	641	52	105
YDR416W	IV	1298432	1301011	+	2580	52	105	464	659	999	95	238
YDR365C	IV	1204497	1206383	-	1887	144	142	1180	2054	2790	254	713
YDL233W	IV	36797	38173	+	1377	28	68	532	529	762	72	176
YDR287W	IV	1035995	1036873	+	879	106	69	712	519	771	65	168
YDR448W	IV	1356065	1357369	+	1305	32	46	400	659	927	85	198
YDR180W	IV	821295	825776	+	4482	58	304	1559	2283	2933	304	870
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	0	8	9	14	28	5	14
tT(AGU)D	IV	434264	434336	-	73	0	16	63	76	94	3	30
YDR294C	IV	1050459	1052228	-	1770	302	636	4087	3887	5664	452	1330
YDR198C	IV	852533	853972	-	1440	22	24	529	763	922	98	291
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	0	24	365	198	245	13	55
YDR501W	IV	1451353	1452918	+	1566	14	80	393	503	686	62	146
YDL214C	IV	74446	76545	-	2100	38	102	323	394	497	50	127
YDR264C	IV	996029	998323	-	2295	1244	1228	8457	8426	12541	1342	3292
YDR343C	IV	1159608	1161320	-	1713	9	0	33	103	114	2	38
YDR373W	IV	1222759	1223331	+	573	276	189	1168	1344	1908	129	460
YDR354W	IV	1184747	1185889	+	1143	113	170	1157	1338	2073	262	636
YDR246W	IV	954288	954947	+	660	6	72	445	538	710	49	175
YDR428C	IV	1323454	1324239	-	786	12	72	297	823	1125	125	245
YDR157W	IV	769931	770332	+	402	2	3	49	103	173	19	30
YDR316W	IV	1093763	1095178	+	1416	84	44	342	528	774	38	118
YDL142C	IV	201719	202570	-	852	12	78	427	402	612	96	179
YDR253C	IV	963990	964565	-	576	0	33	233	353	576	65	136
YDL112W	IV	258915	263225	+	4311	274	765	5437	6900	9842	1168	2749
YDR545W	IV	1526321	1531711	+	5391	0	0	0	0	1	0	0
YDL187C	IV	125509	125838	-	330	0	0	3	7	15	0	3
YDL138W	IV	213351	215642	+	2292	152	176	1890	1263	1917	196	544
YDR528W	IV	1494586	1495857	+	1272	54	64	1027	1195	1520	128	332
YDR284C	IV	1030550	1031419	-	870	86	257	1603	1647	2457	239	516
YDR050C	IV	555726	556472	-	747	22834	6761	53981	81845	121915	14378	39738
YDL010W	IV	432330	433025	+	696	5	26	146	133	200	16	53
YDL065C	IV	336249	337277	-	1029	64	54	453	647	938	53	167
YDR349C	IV	1172386	1174176	-	1791	155	739	4834	4876	6763	683	1964
YDL098C	IV	284581	285165	-	585	8	16	104	251	339	20	63
YDL234C	IV	34237	36477	-	2241	124	153	1047	862	1232	101	270
YDR118W	IV	685882	687840	+	1959	8	68	321	578	688	79	223
YDR118W-A	IV	687768	687884	+	117	0	0	3	9	17	0	2
YDR159W	IV	771877	775782	+	3906	28	118	1163	1736	2116	202	475
YDR111C	IV	678241	679764	-	1524	86	78	533	547	642	62	217
YDR128W	IV	709549	712995	+	3447	126	282	1592	2392	3344	282	743
YDL034W	IV	391783	392127	+	345	2	0	64	80	96	8	25
YDR065W	IV	580687	581784	+	1098	14	52	274	519	747	46	165
YDL004W	IV	443029	443511	+	483	126	460	2966	2223	3224	320	788
YDR024W	IV	491017	491502	+	486	2	1	27	47	38	3	5
YDL171C	IV	149203	155640	-	6438	2762	2448	17319	23628	33302	3693	10076
YDR083W	IV	612073	613251	+	1179	100	42	304	566	749	96	187
YDR457W	IV	1369790	1379596	+	9807	1509	2049	13445	14599	20348	2120	5518
YDR014W	IV	474046	475989	+	1944	4	52	272	415	561	54	106
YDR206W	IV	862054	864708	+	2655	63	397	2190	2823	4063	378	1079
YDR478W	IV	1414575	1415171	+	597	8	12	60	127	212	30	59
YDR169C	IV	792348	793889	-	1542	50	32	576	453	658	49	161
YDR115W	IV	682175	682492	+	318	24	98	509	880	1179	128	323
YDL159W-A	IV	172182	172313	+	132	0	12	12	22	19	0	2
YDL232W	IV	38487	38597	+	111	30	93	549	777	1081	93	241
YDL240C-A	IV	22471	22608	-	138	0	0	2	7	10	2	7
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	2	1	2	14	0	0
YDR432W	IV	1328783	1330027	+	1245	873	446	3726	4207	5280	429	1243
YDL022C-A	IV	409808	410056	-	249	2	0	16	6	12	2	6
YDL114W-A	IV	254935	255048	+	114	0	0	0	0	0	0	0
YDR410C	IV	1292372	1293091	-	720	96	110	856	1254	1482	130	324
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	272	448	3164	2736	3865	380	985
YDR053W	IV	560249	560644	+	396	1	0	2	5	6	0	2
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	4	68	840	956	1321	88	263
YDR482C	IV	1420431	1420838	-	408	42	18	268	382	563	45	114
YDL070W	IV	331024	332940	+	1917	216	370	1876	2167	2970	260	707
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	5394	2873	22862	35072	52311	6591	16394
YDL135C	IV	218680	219288	-	609	144	199	1055	1654	2401	166	481
YDL077C	IV	316971	320120	-	3150	34	122	896	1271	1666	142	394
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0	0	0	0
YDL033C	IV	392659	393912	-	1254	36	72	539	661	880	122	286
YDL031W	IV	394217	397204	+	2988	272	390	2789	3182	4710	438	1184
YDR398W	IV	1267471	1269402	+	1932	230	478	3383	4021	5895	561	1443
YDR326C	IV	1120609	1124925	-	4317	196	688	4805	6129	8620	800	2073
YDL052C	IV	362672	363583	-	912	440	380	3289	5045	6855	543	1690
YDR536W	IV	1508005	1509714	+	1710	22	60	499	499	686	77	146
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	5	5	51	88	114	11	14
YDL116W	IV	251566	253746	+	2181	72	322	1703	1998	2924	339	801
YDR028C	IV	497835	500879	-	3045	246	410	3160	3225	4577	305	886
YDL007W	IV	438047	439360	+	1314	404	642	3225	3268	4292	414	896
YDR236C	IV	935236	935892	-	657	38	40	550	529	664	96	199
YDR011W	IV	465919	470424	+	4506	880	1077	7447	11035	15568	1327	3580
YDR155C	IV	768512	769000	-	489	1346	3528	26228	31491	47913	4722	13226
YDR414C	IV	1295598	1296686	-	1089	24	100	495	922	1376	144	343
YDR026C	IV	492556	494268	-	1713	41	50	531	851	1002	83	236
YDL073W	IV	326613	329567	+	2955	144	324	1868	2692	3508	301	726
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0	1	26	48	37	3	13
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	66	54	270	354	577	32	107
YDL145C	IV	194571	198176	-	3606	2722	2493	19241	19639	28553	2872	7414
YDR203W	IV	857682	857999	+	318	0	0	0	0	2	0	3
YDL104C	IV	273653	274876	-	1224	8	30	250	417	654	51	152
YDL149W	IV	184925	187918	+	2994	38	101	499	464	650	40	136
YDR231C	IV	926293	926910	-	618	91	38	194	182	287	18	67
YDR045C	IV	547978	548310	-	333	34	85	473	782	987	69	220
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	912	1124	8847	16165	23409	1822	4983
YDR415C	IV	1297037	1298161	-	1125	60	92	774	940	1326	143	360
YDR339C	IV	1149951	1150520	-	570	58	58	905	1237	1645	125	312
YDL213C	IV	77289	77966	-	678	68	54	238	282	493	16	86
YDR096W	IV	637139	639823	+	2685	32	140	1373	1398	1816	201	453
YDL019C	IV	417663	421514	-	3852	318	430	2796	3095	4377	390	1068
YDL022W	IV	411825	413000	+	1176	1117	417	4222	3057	4450	420	1288
YDR413C	IV	1294836	1295411	-	576	0	0	1	3	5	1	0
YDR391C	IV	1257358	1258056	-	699	34	62	400	294	368	46	127
YDR091C	IV	626708	628534	-	1827	514	983	6738	9019	12822	1786	4330
YDR240C	IV	943674	945152	-	1479	16	70	383	535	775	68	190
YDL244W	IV	16204	17226	+	1023	12	6	123	51	84	9	18
YDR179C	IV	818708	819196	-	489	4	10	56	139	154	22	37
YDL165W	IV	164290	164865	+	576	28	34	811	746	1173	106	294
YDL140C	IV	205360	210561	-	5202	5208	4959	37051	29199	39305	3878	10895
YDR120C	IV	691549	693261	-	1713	68	340	1988	2583	3759	342	943
YDR003W	IV	454122	454754	+	633	46	55	613	549	832	80	174
YDR499W	IV	1447830	1450073	+	2244	24	46	395	630	767	44	136
YDR166C	IV	786306	789221	-	2916	28	174	1210	1617	2283	208	510
YDL092W	IV	292781	293221	+	441	80	180	956	1263	1773	179	361
YDL041W	IV	378102	378455	+	354	0	0	1	2	0	0	1
YDL241W	IV	20635	21006	+	372	6	12	67	48	67	6	12
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	860	839	6840	11909	17211	1694	4719
YDR277C	IV	1014401	1015702	-	1302	8	8	303	370	591	65	111
YDR291W	IV	1039728	1042961	+	3234	70	238	1098	1248	1814	180	467
YDR475C	IV	1407464	1410094	-	2631	126	108	936	1011	1717	128	348
YDR244W	IV	950563	952401	+	1839	36	114	545	746	995	59	184
YDR407C	IV	1284069	1287938	-	3870	126	296	2484	3179	4307	380	1123
YDR382W	IV	1239492	1239824	+	333	10750	2286	17989	23630	33365	4686	12750
YDR102C	IV	657648	657980	-	333	2	0	45	76	90	6	18
YDL188C	IV	123865	124998	-	1134	177	320	1846	1943	2840	297	742
YDR405W	IV	1277646	1278437	+	792	54	36	400	505	640	33	124
YDR443C	IV	1345676	1349938	-	4263	98	286	1525	1674	2368	210	564
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	16	66	602	395	494	36	103
YDR144C	IV	744311	746101	-	1791	236	518	3760	4166	6033	831	2038
YDL157C	IV	174232	174588	-	357	94	116	1010	1474	2033	165	463
YDL058W	IV	345665	351037	+	5373	467	392	2839	4228	5894	519	1415
YDL096C	IV	286998	287324	-	327	0	4	3	5	3	0	0
YDL155W	IV	176773	178056	+	1284	150	70	814	1177	1630	120	356
YDR147W	IV	751631	753235	+	1605	10	58	328	651	826	75	208
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	827	725	4818	9392	13962	1301	3313
YDL128W	IV	232652	233887	+	1236	186	439	3241	4048	5987	719	1830
YDR310C	IV	1081128	1084316	-	3189	152	337	1894	2667	3671	299	852
YDL160C-A	IV	169366	169608	-	243	0	6	71	187	240	23	70
YDR127W	IV	704484	709250	+	4767	2032	2526	19052	15738	21865	3240	8244
YDR497C	IV	1443713	1445467	-	1755	1111	1536	11944	15978	24524	2476	6238
YDL162C	IV	167359	167715	-	357	6	0	11	15	15	2	1
tS(AGA)D3	IV	1305630	1305712	+	83	0	2	8	10	8	5	2
YDR201W	IV	856317	856814	+	498	30	6	245	364	496	20	98
YDR163W	IV	781423	781950	+	528	4	43	161	187	274	13	39
YDL146W	IV	192750	194225	+	1476	18	68	363	827	1131	146	339
YDR363W-A	IV	1202128	1202397	+	270	168	79	989	1125	1498	97	229
YDL221W	IV	62011	62562	+	552	14	31	132	115	203	30	56
YDL089W	IV	296820	298274	+	1455	28	128	628	587	825	84	236
YDR385W	IV	1243230	1245758	+	2529	5580	4429	36352	52521	76165	9280	23860
YDR331W	IV	1129588	1130823	+	1236	28	96	914	1523	2330	278	713
YDR196C	IV	850274	850999	-	726	24	62	411	529	709	58	130
YDR116C	IV	682724	683581	-	858	30	68	490	692	882	100	232
YDR001C	IV	450220	452475	-	2256	499	570	5679	3852	5464	369	1015
YDL230W	IV	42700	43707	+	1008	34	48	469	569	766	44	150
YDR160W	IV	776163	778721	+	2559	58	86	871	846	1239	150	351
YDR123C	IV	698554	699468	-	915	28	57	374	541	787	70	180
YDR322W	IV	1110589	1111692	+	1104	38	118	589	754	1133	78	257
YDR040C	IV	535192	538467	-	3276	204	90	537	681	960	92	290
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	258	1615	12858	18944	28519	2625	7470
YDR046C	IV	548762	550576	-	1815	232	478	3684	3327	4642	435	1199
YDL057W	IV	351434	352420	+	987	20	44	185	242	347	31	77
YDL248W	IV	1802	2953	+	1152	136	86	495	339	490	24	74
YDR008C	IV	462252	462602	-	351	0	0	0	7	8	0	1
YDR029W	IV	501100	501414	+	315	4	27	119	211	267	22	57
YDR485C	IV	1424820	1427207	-	2388	32	90	383	491	662	41	150
YDR408C	IV	1288215	1288859	-	645	98	100	1210	1393	1981	144	505
YDR038C	IV	527422	530697	-	3276	43	60	463	625	945	83	280
YDL204W	IV	94605	95786	+	1182	20	60	378	484	733	49	162
YDR019C	IV	484163	485365	-	1203	42	64	686	423	506	22	95
YDR477W	IV	1412373	1414274	+	1902	150	154	1848	2329	3236	242	817
YDR254W	IV	965113	966489	+	1377	15	20	307	363	517	49	147
YDR514C	IV	1471548	1472999	-	1452	48	34	443	612	928	77	178
YDR296W	IV	1055212	1055892	+	681	72	58	634	791	1113	60	233
YDL216C	IV	68997	70319	-	1323	4	50	352	338	407	23	86
YDL100C	IV	282112	283176	-	1065	775	1216	8323	9185	13257	1170	2914
YDL068W	IV	333500	333829	+	330	0	0	3	7	11	0	3
YDL026W	IV	404749	405060	+	312	0	0	9	2	3	0	0
YDL124W	IV	240259	241197	+	939	230	412	2179	1507	2268	128	400
YDL227C	IV	46271	48031	-	1761	56	48	419	1149	1443	190	419
YDL111C	IV	263313	264110	-	798	130	371	2386	2247	3371	403	902
YDR324C	IV	1114433	1116763	-	2331	232	306	2091	3078	4182	393	1145
YDL170W	IV	156318	157904	+	1587	56	161	941	616	925	99	167
YDR317W	IV	1102184	1103428	+	1245	4	22	298	398	593	61	139
YDR436W	IV	1334821	1336953	+	2133	130	81	1156	917	1416	126	392
YDR208W	IV	868224	870563	+	2340	120	304	2613	2684	3670	351	930
YDR386W	IV	1246084	1247982	+	1899	18	58	394	350	451	32	78
YDR504C	IV	1456311	1456694	-	384	4	5	53	140	224	11	31
YDL220C	IV	62244	65018	-	2775	66	200	936	1126	1605	190	405
YDR396W	IV	1266295	1266795	+	501	3	13	68	121	149	7	29
YDR258C	IV	971808	974243	-	2436	1156	886	5576	4062	5405	395	1008
YDR176W	IV	814452	816560	+	2109	52	138	586	806	1176	69	242
YDL099W	IV	283419	284444	+	1026	24	48	534	674	1014	70	171
YDR380W	IV	1234218	1236125	+	1908	22	61	608	1284	1785	185	556
YDL110C	IV	264512	264964	-	453	0	20	138	187	258	8	62
YDR148C	IV	753675	755066	-	1392	778	482	3182	2168	2890	284	686
YDL201W	IV	99561	100421	+	861	252	198	1369	1991	2673	213	580
YDL107W	IV	268921	269976	+	1056	40	42	219	337	491	46	111
YDR515W	IV	1473429	1474772	+	1344	19	122	487	599	824	63	140
YDR133C	IV	720962	721297	-	336	99	190	1839	3272	4659	335	961
YDR378C	IV	1229349	1229609	-	261	69	81	961	1193	1604	121	406
YDR473C	IV	1404445	1405854	-	1410	22	70	296	317	435	26	60
YDR403W	IV	1274602	1276212	+	1611	82	97	577	386	633	36	119
YDR268W	IV	1004004	1005143	+	1140	92	96	700	827	994	94	246
YDR409W	IV	1289406	1292120	+	2715	50	70	794	1130	1417	116	410
YDR173C	IV	810565	811632	-	1068	90	30	226	523	626	44	153
YDR187C	IV	836228	836746	-	519	4	0	20	17	30	6	14
YDR389W	IV	1252537	1254501	+	1965	110	445	2646	2886	4385	356	889
YDR417C	IV	1301555	1301926	-	372	0	0	10	24	27	6	4
YDR165W	IV	784871	786205	+	1335	88	206	1873	2706	4029	378	919
YDL113C	IV	256633	258555	-	1923	20	28	183	162	296	42	66
YDR426C	IV	1321629	1322006	-	378	0	0	0	0	2	0	0
